Year,CO2_emissions_tons_per_capita
1993,869.6366447120001
1994,863.100924069
1995,858.2254788530007
1996,859.0625717489997
1997,867.3795741670006
1998,866.1629134909999
1999,854.1473575959998
2000,878.7641457820004
2001,888.0960117319999
2002,884.272209253
2003,907.5256924369997
2004,915.6586320869999
2005,921.0004463360001
2006,933.0686351749995
2007,944.3122224900004
2008,943.5595815619996
2009,898.6088847370003
2010,916.8989946920002
2011,907.5722184170002
2012,907.6794076540003
2013,893.0128324709995
