year_fraction,gmsl
1993.011526,92.66
1993.038692,95.39
1993.065858,92.29
1993.093025,96.2
1993.120191,94.64
1993.147357,93.22
1993.174523,91.67
1993.201689,91.95
1993.228855,91.7
1993.256021,101.31
1993.283188,89.84
1993.310354,89.52
1993.33752,88.88
1993.364686,88.73
1993.391852,89.03
1993.419018,88.65
1993.446185,89.34
1993.473351,88.12
1993.500517,86.35
1993.527683,88.23
1993.554849,93.85
1993.582015,91.11
1993.609181,91.93
1993.636348,91.55
1993.663514,90.96
1993.69068,88.24
1993.717846,88.86
1993.745012,88.7
1993.772178,89.65
1993.799345,87.34
1993.826511,95.53
1993.853677,86.95
1993.880843,87.47
1993.908009,87.01
1993.935175,86.11
1993.962341,87.24
1993.989508,87.23
1994.016674,86.31
1994.04384,84.71
1994.071006,84.58
1994.098172,84.57
1994.125338,84.87
1994.152505,86.7
1994.179671,87.56
1994.206837,92.56
1994.234003,85.4
1994.261169,85.5
1994.288335,85.65
1994.315501,85.03
1994.342668,83.72
1994.369834,85.08
1994.397,86.06
1994.424166,83.83
1994.451332,84.37
1994.478498,91.32
1994.505664,84.3
1994.532831,84.96
1994.559997,88.49
1994.587163,89.94
1994.614329,90.72
1994.641495,92.13
1994.668661,93.08
1994.695828,94.78
1994.722994,97.25
1994.75016,93.62
1994.777326,93.36
1994.804492,93.52
1994.831658,95.26
1994.858824,102.42
1994.885991,96.85
1994.913157,94.12
1994.940323,91.65
1994.967489,92.75
1994.994655,95.08
1995.021821,95.87
1995.048988,91.73
1995.076154,94.8
1995.10332,91.78
1995.130486,91.06
1995.157652,90.43
1995.184818,99.05
1995.211984,92.56
1995.239151,89.11
1995.266317,88.41
1995.293483,88.22
1995.320649,86.46
1995.347815,91.96
1995.374981,84.2
1995.402148,82.47
1995.429314,85.21
1995.45648,84.74
1995.483646,84.96
1995.510812,89.96
1995.537978,84.09
1995.565144,84.13
1995.592311,83.17
1995.619477,85.23
1995.646643,84.2
1995.673809,83.92
1995.700975,85.53
1995.728141,85.39
1995.755307,86.48
1995.782474,87.43
1995.80964,92.14
1995.836806,83.29
1995.863972,83.6
1995.891138,84.01
1995.918304,83.34
1995.945471,83.71
1995.972637,81.41
1995.999803,82.3
1996.026895,83.02
1996.053987,83.54
1996.081079,84.58
1996.108171,85.94
1996.135263,90.76
1996.162355,84.99
1996.189447,86.1
1996.216539,85.97
1996.243631,87.63
1996.270723,86.3
1996.297815,83.67
1996.324907,83.15
1996.351998,85.37
1996.37909,84.16
1996.406182,83.91
1996.433274,83.2
1996.460366,88.73
1996.487458,83.58
1996.51455,82.09
1996.541642,84.1
1996.568734,85.22
1996.595826,83.27
1996.622918,83.64
1996.65001,85.31
1996.677102,86.06
1996.704194,86.23
1996.731285,88.82
1996.758377,85.51
1996.785469,89.99
1996.812561,86.1
1996.839653,86.48
1996.866745,88.87
1996.893837,86.42
1996.920929,85.19
1996.948021,84.35
1996.975113,87.96
1997.002211,88.11
1997.029377,87.95
1997.056543,88.82
1997.083709,87.91
1997.110875,92.82
1997.138042,88.36
1997.165208,89.28
1997.192374,92.24
1997.21954,89.17
1997.246706,89.03
1997.273872,88.51
1997.301038,87.03
1997.328205,86.77
1997.355371,86.21
1997.382537,88.63
1997.409703,91.25
1997.436869,98.73
1997.464035,91.33
1997.491202,94.16
1997.518368,94.45
1997.545534,96.38
1997.5727,97.47
1997.599866,104.39
1997.627032,101.99
1997.654198,105.46
1997.681365,106.76
1997.708531,109.89
1997.735697,109.86
1997.762863,116.26
1997.790029,114.44
1997.817195,113.85
1997.844362,116.08
1997.871528,118.64
1997.898694,115.98
1997.92586,118.95
1997.953026,118.1
1997.980192,114.11
1998.007358,112.49
1998.034525,107.01
1998.061691,111.16
1998.088857,109.19
1998.116023,105.7
1998.143189,103.76
1998.170355,103.73
1998.197521,100.63
1998.224688,101.86
1998.251854,98.92
1998.27902,99.31
1998.306186,98.78
1998.333352,99.1
1998.360518,97.55
1998.387685,102.13
1998.414851,99.48
1998.442017,99.93
1998.469183,98.02
1998.496349,95.62
1998.523515,92.47
1998.550681,94.09
1998.577848,99.46
1998.605014,92.35
1998.63218,92.21
1998.659346,92.96
1998.686512,91.54
1998.713678,90.78
1998.740845,89.54
1998.768011,92.64
1998.795177,98.2
1998.822343,90.89
1998.849509,88.71
1998.876675,89.36
1998.903841,88.41
1998.931008,87.66
1998.958174,86.52
1998.98534,86
1999.012506,85.77
1999.039672,84.67
1999.066838,92.39
1999.094005,89.59
1999.121171,88.94
1999.148337,87.01
1999.175503,87.23
1999.202669,89.17
1999.229835,92.08
1999.257001,92.09
1999.284168,92.06
1999.311334,98.91
1999.3385,89.64
1999.365666,87.42
1999.392832,87.06
1999.419998,85.95
1999.447164,86.09
1999.474331,82.66
1999.501497,83.78
1999.528663,83.28
1999.555829,83.55
1999.582995,84.89
1999.610161,85.34
1999.637328,84.57
1999.664494,94.46
1999.69166,86.57
1999.718826,86.82
1999.745992,88.81
1999.773158,87.41
1999.800324,87.74
1999.827491,87.79
1999.854657,88.97
1999.881823,87.06
1999.908989,86.1
1999.936155,90.87
1999.963321,85.67
1999.990488,85.06
2000.017605,82.52
2000.044697,83.7
2000.071789,85.95
2000.098881,86.4
2000.125973,87.03
2000.153065,89.06
2000.180157,89.12
2000.207249,90.2
2000.234341,91.36
2000.261433,97.79
2000.288525,89.26
2000.315617,89.48
2000.342709,88.79
2000.369801,88.88
2000.396892,87.38
2000.423984,86.27
2000.451076,84.82
2000.478168,85.97
2000.50526,84.47
2000.532352,85.38
2000.559444,90.58
2000.586536,84.47
2000.613628,83.74
2000.64072,85.21
2000.667812,86.16
2000.694904,88.1
2000.721996,85.6
2000.749088,83.69
2000.776179,83.59
2000.803271,85.91
2000.830363,92.89
2000.857455,84.56
2000.884547,84.76
2000.911639,83.32
2000.938731,83.77
2000.965823,84.18
2000.992915,81.96
2001.020062,81.36
2001.047228,86.82
2001.074394,82.56
2001.10156,85.23
2001.128726,86.84
2001.155892,87.49
2001.183059,87.15
2001.210225,86.14
2001.237391,86.81
2001.264557,87.33
2001.291723,85.5
2001.318889,85.64
2001.346055,84.72
2001.373222,82.85
2001.400388,82.3
2001.427554,82.25
2001.45472,82.5
2001.481886,83.01
2001.509052,83.02
2001.536218,82.44
2001.563385,83.57
2001.590551,84.45
2001.617717,83.33
2001.644883,84.97
2001.672049,85.66
2001.699215,86.76
2001.726382,84.89
2001.753548,84.73
2001.780714,84.47
2001.80788,87.46
2001.835046,86.84
2001.862212,86.59
2001.889378,84.55
2001.916545,83.46
2001.943711,82.26
2001.970877,83.13
2001.998043,84.39
2002.025209,83.63
2002.052375,81.15
2002.079542,82.6
2002.106708,81.83
2002.133874,82.28
2002.16104,80.99
2002.188206,81.92
2002.215372,81.16
2002.242538,83.18
2002.269705,81.95
2002.296871,78.82
2002.324037,79.93
2002.351203,80.08
2002.378369,82.81
2002.405535,81.42
2002.432702,81.43
2002.459868,80.25
2002.487034,82.81
2002.5142,84.1
2002.541366,84.14
2002.568532,85.15
2002.595698,83.4
2002.622865,86.14
2002.650031,88.11
2002.677197,92.58
2002.704363,92.38
2002.731529,91.64
2002.758695,91.46
2002.785861,95.76
2002.813028,96.1
2002.840194,95.04
2002.86736,92.65
2002.894526,91.69
2002.921692,91.56
2002.948858,91.94
2002.976025,90.15
2003.003191,89.65
2003.030357,90.61
2003.057523,87.68
2003.084689,87.44
2003.111855,86.95
2003.139021,88.55
2003.166188,89.53
2003.193354,90.44
2003.22052,88.42
2003.247686,86.66
2003.274852,85.28
2003.302018,86.3
2003.329185,85.95
2003.356351,84.8
2003.383517,85.59
2003.410683,83.48
2003.437849,83.88
2003.465015,82.46
2003.492181,83.25
2003.519348,84.41
2003.546514,85.02
2003.57368,86.43
2003.600846,85.65
2003.628012,85.55
2003.655178,88.78
2003.682345,87.13
2003.709511,87.16
2003.736677,88.75
2003.763843,89.56
2003.791009,88.96
2003.818175,90.58
2003.845341,90.37
2003.872508,87.59
2003.899674,94.56
2003.92684,87.15
2003.954006,85.64
2003.981172,85.41
2004.008316,85.11
2004.035407,87.18
2004.062499,86.22
2004.089591,84.05
2004.116683,86.05
2004.143775,83.24
2004.170867,84.9
2004.197959,85.88
2004.225051,86.62
2004.252143,87.55
2004.279235,87.76
2004.306327,86
2004.333419,83.55
2004.360511,83.57
2004.387603,86.05
2004.414694,84.11
2004.441786,83.28
2004.468878,84.41
2004.49597,83.31
2004.523062,84.11
2004.550154,86.17
2004.577246,83.96
2004.604338,85.3
2004.63143,87.27
2004.658522,88.21
2004.685614,89.08
2004.712706,90.08
2004.739798,87.65
2004.76689,89.3
2004.793981,87.73
2004.821073,88.42
2004.848165,88.64
2004.875257,88.71
2004.902349,87.74
2004.929441,87.15
2004.956533,87.53
2004.983625,85.87
2005.010746,87.15
2005.037912,86.45
2005.065079,86.25
2005.092245,85.16
2005.119411,86.3
2005.146577,87.43
2005.173743,90.65
2005.200909,90.26
2005.228075,86.63
2005.255242,84.23
2005.282408,84.53
2005.309574,85.94
2005.33674,86.1
2005.363906,85.72
2005.391072,84.87
2005.418239,83.79
2005.445405,83.48
2005.472571,82.53
2005.499737,83.68
2005.526903,82.53
2005.554069,83.14
2005.581235,83.07
2005.608402,82.6
2005.635568,83.14
2005.662734,84.01
2005.6899,86.09
2005.717066,92.95
