,Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,population_millions,GMSL,CO2_emissions_tons_per_capita
0,1993,15.466416666666667,0.05916666666666667,5581597.597999998,90.47162162162162,869.6366447120001
1,1994,15.534999999999998,0.058583333333333334,5663150.4279999975,89.51621621621621,863.1009240689999
2,1995,15.637833333333333,0.060416666666666674,5744212.93,87.33472222222224,858.2254788530008
3,1996,15.524666666666667,0.0595,5824891.931,85.47324324324325,859.0625717489997
4,1997,15.713833333333335,0.05916666666666667,5905045.647000001,99.44243243243244,867.3795741670006
5,1998,15.826000000000002,0.063,5984794.075,96.97729729729728,866.1629134909999
6,1999,15.600333333333333,0.06333333333333334,6064239.033,87.76945945945945,854.1473575959998
7,2000,15.610666666666667,0.06350000000000001,6143493.806,86.6572972972973,878.7641457820005
8,2001,15.767499999999998,0.06458333333333334,6222626.531,84.68837837837842,888.0960117319999
9,2002,15.829166666666667,0.06291666666666666,6301773.172,85.89527777777779,884.272209253
10,2003,15.826583333333335,0.06433333333333334,6381185.141,87.17891891891891,907.5256924369996
11,2004,15.75725,0.06125000000000001,6461159.391,86.26378378378378,915.658632087
12,2005,15.87925,0.06083333333333335,6541906.956,85.42783783783784,921.0004463360001
13,2006,15.8135,0.061000000000000026,6623517.917,86.16138888888888,933.0686351749997
14,2007,15.827333333333335,0.059083333333333335,6705946.642999997,85.26594594594594,944.3122224900003
15,2008,15.721250000000005,0.05725,6789088.672,86.83888888888887,943.5595815619997
16,2009,15.827166666666667,0.05891666666666667,6872766.988,85.63405405405406,898.6088847370003
17,2010,15.895499999999998,0.058583333333333334,6956823.588,87.83081081081079,916.8989946920003
18,2011,15.7695,0.059000000000000004,7041194.168,89.01675675675676,907.5722184170003
19,2012,15.802333333333335,0.0615,7125827.957,87.51432432432432,907.6794076540004
20,2013,15.854416666666667,0.06466666666666666,7210582.041,87.77729729729731,893.0128324709995
21,2014,15.912999999999995,0.06316666666666669,7295290.759,88.42666666666666,890.2301556870001
22,2015,16.058583333333335,0.06083333333333332,7379796.967,100.5991891891892,901.3995318699992
