GMSL,Year
92.66,1993
95.39,1993
92.29,1993
96.2,1993
94.64,1993
93.22,1993
91.67,1993
91.95,1993
91.7,1993
101.31,1993
89.84,1993
89.52,1993
88.88,1993
88.73,1993
89.03,1993
88.65,1993
89.34,1993
88.12,1993
86.35,1993
88.23,1993
93.85,1993
91.11,1993
91.93,1993
91.55,1993
90.96,1993
88.24,1993
88.86,1993
88.7,1993
89.65,1993
87.34,1993
95.53,1993
86.95,1993
87.47,1993
87.01,1993
86.11,1993
87.24,1993
87.23,1993
86.31,1994
84.71,1994
84.58,1994
84.57,1994
84.87,1994
86.7,1994
87.56,1994
92.56,1994
85.4,1994
85.5,1994
85.65,1994
85.03,1994
83.72,1994
85.08,1994
86.06,1994
83.83,1994
84.37,1994
91.32,1994
84.3,1994
84.96,1994
88.49,1994
89.94,1994
90.72,1994
92.13,1994
93.08,1994
94.78,1994
97.25,1994
93.62,1994
93.36,1994
93.52,1994
95.26,1994
102.42,1994
96.85,1994
94.12,1994
91.65,1994
92.75,1994
95.08,1994
95.87,1995
91.73,1995
94.8,1995
91.78,1995
91.06,1995
90.43,1995
99.05,1995
92.56,1995
89.11,1995
88.41,1995
88.22,1995
86.46,1995
91.96,1995
84.2,1995
82.47,1995
85.21,1995
84.74,1995
84.96,1995
89.96,1995
84.09,1995
84.13,1995
83.17,1995
85.23,1995
84.2,1995
83.92,1995
85.53,1995
85.39,1995
86.48,1995
87.43,1995
92.14,1995
83.29,1995
83.6,1995
84.01,1995
83.34,1995
83.71,1995
81.41,1995
82.3,1996
83.02,1996
83.54,1996
84.58,1996
85.94,1996
90.76,1996
84.99,1996
86.1,1996
85.97,1996
87.63,1996
86.3,1996
83.67,1996
83.15,1996
85.37,1996
84.16,1996
83.91,1996
83.2,1996
88.73,1996
83.58,1996
82.09,1996
84.1,1996
85.22,1996
83.27,1996
83.64,1996
85.31,1996
86.06,1996
86.23,1996
88.82,1996
85.51,1996
89.99,1996
86.1,1996
86.48,1996
88.87,1996
86.42,1996
85.19,1996
84.35,1996
87.96,1996
88.11,1997
87.95,1997
88.82,1997
87.91,1997
92.82,1997
88.36,1997
89.28,1997
92.24,1997
89.17,1997
89.03,1997
88.51,1997
87.03,1997
86.77,1997
86.21,1997
88.63,1997
91.25,1997
98.73,1997
91.33,1997
94.16,1997
94.45,1997
96.38,1997
97.47,1997
101.99,1997
100.63,1998
101.86,1998
98.92,1998
99.31,1998
98.78,1998
99.1,1998
97.55,1998
102.13,1998
99.48,1998
99.93,1998
98.02,1998
95.62,1998
92.47,1998
94.09,1998
99.46,1998
92.35,1998
92.21,1998
92.96,1998
91.54,1998
90.78,1998
89.54,1998
92.64,1998
98.2,1998
90.89,1998
88.71,1998
89.36,1998
88.41,1998
87.66,1998
86.52,1998
86.0,1998
85.77,1999
84.67,1999
92.39,1999
89.59,1999
88.94,1999
87.01,1999
87.23,1999
89.17,1999
92.08,1999
92.09,1999
92.06,1999
98.91,1999
89.64,1999
87.42,1999
87.06,1999
85.95,1999
86.09,1999
82.66,1999
83.78,1999
83.28,1999
83.55,1999
84.89,1999
85.34,1999
84.57,1999
94.46,1999
86.57,1999
86.82,1999
88.81,1999
87.41,1999
87.74,1999
87.79,1999
88.97,1999
87.06,1999
86.1,1999
90.87,1999
85.67,1999
85.06,1999
82.52,2000
83.7,2000
85.95,2000
86.4,2000
87.03,2000
89.06,2000
89.12,2000
90.2,2000
91.36,2000
97.79,2000
89.26,2000
89.48,2000
88.79,2000
88.88,2000
87.38,2000
86.27,2000
84.82,2000
85.97,2000
84.47,2000
85.38,2000
90.58,2000
84.47,2000
83.74,2000
85.21,2000
86.16,2000
88.1,2000
85.6,2000
83.69,2000
83.59,2000
85.91,2000
92.89,2000
84.56,2000
84.76,2000
83.32,2000
83.77,2000
84.18,2000
81.96,2000
81.36,2001
86.82,2001
82.56,2001
85.23,2001
86.84,2001
87.49,2001
87.15,2001
86.14,2001
86.81,2001
87.33,2001
85.5,2001
85.64,2001
84.72,2001
82.85,2001
82.3,2001
82.25,2001
82.5,2001
83.01,2001
83.02,2001
82.44,2001
83.57,2001
84.45,2001
83.33,2001
84.97,2001
85.66,2001
86.76,2001
84.89,2001
84.73,2001
84.47,2001
87.46,2001
86.84,2001
86.59,2001
84.55,2001
83.46,2001
82.26,2001
83.13,2001
84.39,2001
83.63,2002
81.15,2002
82.6,2002
81.83,2002
82.28,2002
80.99,2002
81.92,2002
81.16,2002
83.18,2002
81.95,2002
78.82,2002
79.93,2002
80.08,2002
82.81,2002
81.42,2002
81.43,2002
80.25,2002
82.81,2002
84.1,2002
84.14,2002
85.15,2002
83.4,2002
86.14,2002
88.11,2002
92.58,2002
92.38,2002
91.64,2002
91.46,2002
95.76,2002
96.1,2002
95.04,2002
92.65,2002
91.69,2002
91.56,2002
91.94,2002
90.15,2002
89.65,2003
90.61,2003
87.68,2003
87.44,2003
86.95,2003
88.55,2003
89.53,2003
90.44,2003
88.42,2003
86.66,2003
85.28,2003
86.3,2003
85.95,2003
84.8,2003
85.59,2003
83.48,2003
83.88,2003
82.46,2003
83.25,2003
84.41,2003
85.02,2003
86.43,2003
85.65,2003
85.55,2003
88.78,2003
87.13,2003
