year,population_millions
1993,5581597.598
1994,5663150.428
1995,5744212.93
1996,5824891.931
1997,5905045.647
1998,5984794.075
1999,6064239.033
2000,6143493.806
2001,6222626.531
2002,6301773.172
2003,6381185.141
2004,6461159.391
2005,6541906.956
2006,6623517.917
2007,6705946.643
2008,6789088.672
2009,6872766.988
2010,6956823.588
2011,7041194.168
2012,7125827.957
2013,7210582.041
2014,7295290.759
2015,7379796.967
2016,7464021.934
2017,7547858.9
2018,7631091.113
2019,7713468.205
2020,7794798.729
