#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals removed) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.45,,,
1992.9865,-19.87,,,
1993.0123,-15.53,,,
1993.0407,-19.33,,,
1993.066,-23.86,,,
1993.0974,-27.14,,,
1993.1206,-25.03,,,
1993.1493,-18.91,,,
1993.1765,-15.84,,,
1993.2037,-16.25,,,
1993.2307,-19.67,,,
1993.2851,-22.66,,,
1993.3123,-16.18,,,
1993.3394,-15.62,,,
1993.3665,-12.52,,,
1993.3937,-17.03,,,
1993.4208,-21.43,,,
1993.448,-18.28,,,
1993.4751,-13.56,,,
1993.5021,-10.62,,,
1993.5294,-11.89,,,
1993.5837,-20.96,,,
1993.6117,-18.32,,,
1993.6381,-14.53,,,
1993.6652,-11.12,,,
1993.6923,-13.45,,,
1993.7189,-19.97,,,
1993.7466,-20.56,,,
1993.7738,-15.87,,,
1993.8009,-16.55,,,
1993.8553,-13.15,,,
1993.8824,-18.93,,,
1993.9098,-19.41,,,
1993.9367,-16.92,,,
1993.9639,-9.22,,,
1993.9907,-7.26,,,
1994.0181,-15.87,,,
1994.0452,-15.76,,,
1994.0723,-17.27,,,
1994.0995,-18.9,,,
1994.1267,-17.35,,,
1994.1539,-11.07,,,
1994.1809,-10.42,,,
1994.2353,-15.35,,,
1994.2624,-13.03,,,
1994.2896,-10.72,,,
1994.3168,-7.92,,,
1994.3439,-11.35,,,
1994.371,-15.85,,,
1994.3982,-18.58,,,
1994.4253,-15.39,,,
1994.4524,-8.88,,,
1994.5067,-15.51,,,
1994.5339,-14.54,,,
1994.561,-17.57,,,
1994.5882,-13.99,,,
1994.6154,-11.64,,,
1994.6425,-8.9,,,
1994.6697,-11.8,,,
1994.6968,-14.41,,,
1994.7239,-17.21,,,
1994.751,-16.12,,,
1994.7782,-14.46,,,
1994.8054,-8.28,,,
